100 8149
4 58 16637
41 38 23939
1 93 1528
75 63 14558
97 30 8363
15 30 4369
98 56 2178
54 60 16036
8 73 25849
29 45 9329
14 43 5697
12 44 7288
48 45 9032
63 43 24983
46 54 24787
8 46 19652
59 16 23658
16 27 16619
64 89 10581
48 34 23170
18 84 4971
20 68 7827
19 45 3743
21 23 7403
14 47 19346
90 87 10155
75 78 30866
17 72 30324
14 52 13259
26 60 21985
63 54 24223
73 10 29707
76 61 11092
82 95 337
98 12 13723
5 43 18579
31 96 2982
82 80 9378
6 16 4289
85 71 24732
89 78 25510
66 24 12128
22 86 16904
85 64 2662
37 85 4108
57 86 668
57 53 1446
71 39 28184
79 73 23827
51 39 29634
42 63 1252
24 41 21052
12 66 7521
10 12 29113
35 42 15396
37 26 26750
96 16 25144
69 57 10305
65 73 4143
43 34 7846
33 63 16605
17 86 15752
34 12 7875
49 5 12242
9 80 20809
98 64 1549
8 77 5723
57 96 29175
78 68 21006
17 2 19129
4 8 8513
20 12 7065
66 20 7563
74 61 32058
60 84 12241
62 93 32201
57 61 23634
27 54 30371
76 6 11791
49 20 28255
94 1 8409
34 42 7233
99 53 28780
90 45 24185
47 22 22624
80 43 1727
0 7 25556
57 0 22835
46 30 15649
91 36 1917
24 32 19707
97 65 26279
48 82 13758
2 29 10284
63 85 8936
52 53 3879
16 15 19942
38 0 174
90 39 20673
42 51 31417
47 27 13386
3 67 32556
83 56 27352
92 32 26835
24 28 27071
39 96 32375
29 41 8950
63 3 31831
93 98 3507
87 18 18083
22 25 2022
42 93 6097
16 9 29652
0 69 21473
19 21 23621
45 91 17903
20 33 28415
29 40 32669
71 53 4232
95 44 27200
45 89 32102
14 21 26584
86 49 11342
94 25 13872
79 51 16901
3 88 12487
84 20 13030
17 26 7747
26 34 30534
57 8 31915
41 6 20259
1 34 19345
26 16 18162
0 39 13810
28 24 21087
64 14 17794
38 77 13146
95 45 1934
3 13 21197
27 51 20426
41 56 32198
40 79 8085
36 30 29955
86 31 14502
17 57 13853
95 60 6170
52 17 11463
1 77 4951
42 34 2409
48 78 29787
94 80 20864
94 79 23501
47 58 16508
15 25 4161
78 63 25331
34 86 29694
8 54 31337
29 10 4112
9 95 9744
62 99 1123
53 6 11889
68 5 21835
6 34 12953
53 7 7279
47 42 13725
42 96 23637
84 46 397
15 22 15618
24 93 4408
71 28 7521
16 11 17478
12 96 30841
22 75 6546
29 5 28313
17 78 6611
76 82 8696
84 99 4338
67 43 21388
51 21 16023
90 81 6135
62 25 22235
7 19 26077
59 32 4643
23 30 30218
33 29 14211
40 98 17193
62 48 3919
61 52 14837
29 5 5009
74 92 11320
84 10 4766
75 74 10223
34 40 23573
36 11 16743
95 42 2771
3 60 31285
98 71 7884
95 65 2132
85 64 28623
58 55 10194
77 63 7828
16 9 9931
22 48 7085
50 31 20141
20 15 13357
24 50 32497
54 30 25120
75 9 3283
47 95 29489
53 41 6318
22 72 523
2 86 21765
69 1 20309
49 31 1119
44 63 19809
74 67 2692
30 48 15841
22 88 8892
4 67 9023
28 41 28699
83 51 3949
13 47 32263
49 34 6215
13 7 13934
96 67 32221
83 2 8309
85 27 26943
32 62 13697
43 96 10910
79 50 5089
41 95 5097
35 53 7563
23 32 2338
94 95 30382
95 36 27682
86 4 7672
28 81 13780
13 88 21349
92 7 18409
11 0 7153
64 12 528
47 39 1885
20 96 21706
28 9 4970
77 58 20233
75 51 23294
31 73 27959
60 19 6868
98 53 4002
49 12 27262
85 18 14214
35 14 32477
51 79 12588
75 49 1884
72 54 30422
56 59 18833
40 85 11122
74 14 5909
20 68 23876
87 51 10158
1 92 8202
35 66 22049
29 16 19278
32 49 18503
60 66 5338
41 89 15156
98 75 31964
39 63 11497
82 8 19501
7 86 11024
68 64 3640
32 23 22054
15 46 8274
14 58 4165
51 45 26317
23 74 2374
98 85 12922
25 51 28366
9 59 5475
82 59 11615
43 68 26833
36 51 27098
65 44 31489
96 44 22573
73 43 9493
42 77 16172
12 92 31268
32 57 8894
29 81 26226
41 61 1254
30 24 573
91 16 17243
77 68 7583
77 10 6807
3 88 13168
36 68 6328
76 56 3897
9 15 6531
56 53 5771
30 16 4703
52 49 24671
61 21 20530
37 95 9541
90 92 8793
14 4 10637
11 76 5435
80 51 7863
75 20 9247
73 87 11197
47 73 32081
25 93 25631
34 32 25791
47 48 955
89 79 16525
40 4 22995
2 56 14418
69 84 30665
59 53 23293
85 79 2178
11 66 18589
54 64 15219
74 59 13422
66 83 31410
73 24 2309
64 40 17843
90 30 23413
15 32 4726
36 23 31671
76 99 5448
32 42 8131
41 93 21358
73 77 13336
3 94 23106
19 57 14435
26 12 9952
81 2 1630
46 49 30102
35 85 18258
77 24 32544
13 88 24548
52 72 13911
54 64 5594
49 36 19883
63 35 27413
85 68 30630
42 20 31266
61 89 10100
80 25 11857
42 34 30635
14 41 28500
77 20 19653
33 1 7366
51 16 5638
41 73 4156
81 17 2764
51 95 23719
80 42 15223
95 7 14375
87 28 5224
19 74 31150
65 9 22220
95 62 26106
53 45 24112
34 51 16339
34 91 6923
18 3 15761
86 10 18884
89 16 14925
91 86 27360
55 33 17241
58 27 11352
92 57 4809
20 98 7497
96 18 11824
52 94 31869
79 78 19689
65 20 1919
28 25 27516
4 15 13105
81 2 6655
8 32 30758
1 98 12681
80 45 11305
53 63 16650
38 78 4024
73 58 15400
34 29 4446
5 29 22257
42 61 8750
24 96 3972
59 19 7637
89 76 17150
64 60 3568
24 84 23878
20 28 17330
68 8 19356
98 65 13311
63 70 26604
74 20 383
69 28 10068
41 27 32096
44 89 102
54 39 29369
58 55 19973
58 47 6603
9 21 31218
28 61 26524
20 37 1635
86 90 25492
49 81 12345
40 89 4143
58 29 27570
71 37 5337
99 93 31657
23 29 1681
99 58 26563
60 64 14828
77 52 12308
7 52 17541
17 80 23853
39 27 3331
16 34 394
30 72 20539
48 5 32208
49 83 10013
36 48 27506
91 79 11361
95 72 2439
46 37 12855
7 75 30191
54 76 22377
53 12 28972
6 81 2223
39 94 30065
9 6 26140
50 49 6609
0 5 28151
11 31 8345
12 53 1375
48 47 15419
57 26 19582
42 56 6226
33 35 28484
44 19 7330
47 7 9435
94 98 15916
43 40 8019
30 54 5799
70 67 6715
99 26 29947
24 65 21018
60 84 14741
19 81 18444
73 47 10160
48 14 7154
65 41 28892
52 92 19690
62 40 12918
56 74 8979
62 42 29898
60 39 14025
76 14 2576
35 12 18650
88 34 32651
75 87 15460
62 84 15729
52 43 20057
33 43 611
0 69 28644
93 81 11676
33 78 16415
64 13 16734
74 28 18497
14 78 7095
49 41 3967
91 59 6147
18 32 23720
29 49 17974
70 21 14484
12 99 21096
79 20 574
45 91 23155
88 56 2465
11 44 30086
19 55 442
12 22 5731
60 38 7752
81 46 31817
95 39 556
34 93 28590
65 73 10614
18 31 24414
22 15 18040
27 51 26520
46 18 11139
78 99 12348
90 91 25362
54 83 12335
74 55 5775
14 32 4979
94 75 26619
87 12 3765
64 60 32027
64 98 9780
43 39 15099
10 38 10063
71 10 9958
98 1 6945
95 65 7712
18 45 7662
99 81 10249
39 76 6742
87 15 7798
37 36 14462
49 17 22101
7 42 12471
44 83 26375
13 97 28237
56 2 14572
80 91 23163
5 69 13333
35 56 4285
13 7 19998
77 64 29945
19 0 25238
97 37 31021
88 56 17285
10 46 9137
25 8 22512
30 62 26660
31 84 31843
69 49 29853
41 91 15861
4 21 447
67 22 571
44 96 20409
12 57 20256
98 89 4956
13 58 15277
67 60 32207
45 85 12049
0 23 3719
36 55 1430
99 45 21128
16 41 2887
90 91 25892
84 35 2664
83 7 17839
49 1 28
13 69 13021
1 27 29638
74 81 1991
66 95 32261
10 18 24526
12 24 21091
26 11 24016
9 81 11017
21 54 10351
41 37 22555
24 34 20565
1 68 31874
62 15 14017
86 34 16466
92 25 31162
93 88 1299
6 34 14523
31 41 652
51 68 32707
54 0 13033
24 33 8182
96 7 11085
54 60 1126
58 36 31285
64 40 30360
43 97 30515
9 69 6613
53 8 10217
88 16 30077
1 91 3153
88 0 1478
37 64 22705
58 21 18348
82 49 28109
92 17 24582
17 65 20532
21 36 9976
39 81 1468
9 42 22589
25 73 11403
39 89 15861
29 25 24893
27 42 12034
86 70 12801
67 10 31517
51 10 31443
32 19 11809
48 86 11021
71 51 16706
25 88 12039
53 19 11307
48 84 6284
65 51 8502
78 79 14142
27 21 26430
3 43 11843
6 12 2233
5 53 18135
36 14 17174
19 67 22420
74 82 4770
84 13 9864
40 39 13908
33 20 16510
98 66 25681
17 0 27130
9 40 29454
34 31 7898
22 85 17492
75 11 7074
11 23 5782
79 80 14291
71 59 22103
68 16 31457
16 89 27790
51 10 23974
85 94 10320
47 60 10335
8 45 4395
83 90 24987
92 1 31979
75 25 23716
7 24 32457
64 95 13891
88 41 32563
29 15 1271
51 15 21167
2 88 15859
34 58 19330
71 65 25211
4 87 21795
65 31 384
89 82 31146
89 37 1926
61 1 4273
36 33 19259
66 52 5220
9 76 20292
57 29 1207
23 18 25135
66 86 10744
6 56 11149
47 5 16180
98 95 24985
13 15 25133
98 30 25858
6 73 27090
64 93 26792
87 99 17779
0 44 10605
12 10 5680
25 23 7797
73 48 8526
31 10 1114
20 66 21876
74 59 17989
95 19 13830
87 67 7665
29 11 26385
91 38 24573
0 26 6540
71 35 23574
89 72 2772
44 90 4325
1 52 31662
13 47 16835
11 54 16949
35 20 20640
38 58 14206
86 33 10404
57 71 3291
89 81 5739
97 79 24062
62 8 12532
41 32 27759
26 25 661
41 74 9744
83 18 918
33 61 15270
95 90 16446
39 70 28061
11 33 17014
37 6 9352
86 30 6996
30 87 14340
99 96 17186
20 39 16902
87 3 1737
8 80 21957
6 27 28579
34 59 14523
22 46 3865
67 70 8558
35 60 27041
52 21 21249
39 99 29947
38 46 32196
62 2 19382
16 55 27703
98 20 27750
1 60 309
68 18 9490
76 96 14160
39 85 15302
23 51 31357
45 69 2895
50 72 11423
56 34 14207
74 52 14999
11 94 24214
18 29 10977
41 9 21922
99 71 20455
57 45 7154
77 21 6027
60 42 21998
91 47 7844
45 98 23027
56 6 2645
71 56 14857
53 69 650
36 70 19334
76 44 20486
61 18 2559
12 99 26048
45 99 25875
8 34 20609
67 86 8442
92 3 30982
82 7 32728
74 18 9232
40 21 32323
57 39 31011
99 80 6021
74 39 25583
39 60 22137
12 70 11662
97 82 32280
68 17 540
64 74 24847
9 96 3163
94 60 8697
3 93 13405
69 62 7691
56 45 12135
52 6 16984
35 99 16017
52 43 4092
91 20 1734
91 94 11718
59 6 10298
61 85 9788
76 14 29804
79 82 26386
69 67 10570
59 81 21351
55 32 15643
7 42 19557
94 11 23086
76 16 3099
46 41 31372
23 15 7329
21 17 29464
61 36 10736
80 67 31456
12 23 30453
96 8 9872
93 8 28346
27 58 14664
37 38 12484
62 15 25405
73 78 9213
58 50 23539
32 21 7608
83 77 2288
9 98 4785
26 85 25399
54 89 9761
44 40 23793
21 69 20279
83 97 30211
83 18 18322
53 21 18829
94 26 5530
54 58 30596
70 57 23486
61 22 13535
46 48 12809
96 78 21014
52 67 16783
97 0 31454
45 52 12692
50 93 9068
15 83 17544
91 46 22183
10 28 22310
95 55 13827
97 19 24156
37 54 18187
70 1 4290
94 44 29635
89 6 11982
29 38 14939
24 5 26882
41 63 15863
21 4 17866
39 46 3443
93 1 12492
21 35 22127
57 9 7108
78 68 10756
5 45 23893
27 70 17906
56 71 21584
42 38 20518
37 20 22107
26 25 27625
21 36 9987
2 95 22301
70 17 12445
11 84 9033
3 87 2696
89 49 29034
23 98 4255
10 32 4788
22 61 22062
59 4 83
13 99 8634
76 12 11771
59 47 29581
35 96 20302
45 58 963
83 0 24517
66 40 14175
86 62 3036
95 64 32058
79 11 6810
35 40 28041
38 30 19582
89 24 29312
18 85 24903
0 82 26044
67 70 2060
46 48 8563
96 59 30106
13 64 21923
49 56 19223
73 31 20662
56 43 27484
39 40 10318
29 15 26497
10 44 6720
60 44 23438
74 25 26334
18 57 31321
27 78 7463
25 8 13288
46 1 9842
35 5 25595
28 5 8877
70 67 24206
73 33 10064
50 46 3688
18 88 650
5 38 15893
9 90 4439
11 18 7650
13 16 21116
41 96 14773
32 82 31140
66 84 26572
24 49 11532
74 31 21967
64 34 7554
41 91 19391
36 62 7075
63 79 5281
0 5 32407
90 81 19184
68 74 28620
11 23 6983
97 61 19532
88 55 31168
63 96 6090
82 28 22260
92 45 18045
40 37 10148
14 43 14940
85 90 7794
21 20 1377
5 56 22839
96 67 9679
40 85 3031
43 60 21179
35 31 28829
36 50 24133
90 81 2697
73 1 65
57 83 8218
6 67 22340
90 97 21875
76 59 26444
82 91 754
65 27 9346
60 4 24968
23 21 32193
22 3 30850
31 29 11758
94 76 28793
48 32 11327
37 7 7583
18 32 13057
25 23 18354
52 68 20873
63 59 46
34 3 10566
92 0 18329
37 13 7989
21 92 26883
71 88 16935
87 0 24329
85 69 15253
99 90 22527
25 28 9210
26 29 5900
18 28 21733
39 53 3684
13 99 8779
35 13 13017
4 37 4534
29 56 17275
42 51 362
70 66 8205
75 51 2714
47 77 24424
8 10 4408
80 33 13100
71 95 14608
63 21 22604
68 16 11053
42 65 27738
0 20 1970
74 27 3484
77 89 24493
87 21 16469
90 39 28572
68 91 15808
5 67 24204
31 45 8629
64 4 20254
43 24 29167
15 43 26334
78 73 18023
91 1 26021
96 67 31818
48 14 18948
97 31 25959
6 54 8423
80 29 25654
39 14 19955
88 7 26813
63 29 10061
17 3 23805
10 82 31430
52 24 20409
33 27 19365
95 47 8872
22 6 8070
21 97 15730
16 71 22024
74 18 22806
35 31 6712
26 95 28540
97 90 19976
90 13 18784
64 89 12072
0 49 6376
8 22 12829
42 81 6513
72 6 31604
5 86 23936
58 7 18513
92 43 23008
97 27 20186
51 34 26947
71 99 29738
4 43 1552
76 84 30918
21 60 24607
78 34 15831
51 82 21130
2 5 21654
8 54 8685
18 38 30366
7 82 26010
85 6 8496
8 62 7857
14 99 9861
68 85 22055
74 12 28614
52 28 14098
12 33 12095
25 98 3287
74 53 13799
63 88 25879
75 81 20569
83 44 25443
39 33 20169
85 90 10531
86 30 30885
13 84 7735
85 38 30677
86 15 30515
31 94 4325
98 5 7245
37 84 5235
86 58 8277
96 80 11195
19 33 22858
81 6 17687
33 55 29803
32 83 18127
88 22 7641
28 31 7564
71 31 6177
21 95 2370
69 78 31303
95 85 1663
47 4 19244
45 62 11091
80 87 26464
73 18 5710
60 50 6852
90 66 29519
74 93 10632
47 8 27922
73 35 15459
94 82 29630
90 18 21020
31 11 24554
42 16 3262
75 10 32433
51 98 24718
61 49 17014
28 20 14423
52 38 25663
80 19 13128
82 21 28606
9 33 31191
91 56 27697
18 40 515
24 73 27166
24 97 18862
94 67 10700
95 15 32715
12 69 20007
68 6 2895
93 68 2005
74 51 12321
82 12 4769
51 86 29047
29 94 21389
92 85 3693
69 31 28710
0 48 24757
18 24 26607
27 37 20137
23 32 7935
60 76 14646
97 22 29992
37 76 9035
37 89 1854
83 74 5077
32 50 8278
59 39 13426
74 86 16156
22 32 15970
17 97 13810
33 96 27545
76 88 32471
7 17 13149
53 82 2070
85 91 2186
30 51 31279
64 21 25846
58 1 17630
7 94 5924
80 53 25483
26 50 7359
20 1 24212
0 30 11937
32 13 7965
26 68 21496
94 58 11886
74 16 31338
41 85 15105
82 34 12100
44 26 3287
49 45 14870
63 33 16296
15 83 4941
65 39 29954
34 55 4517
99 21 2436
41 2 16277
53 85 32684
50 22 9721
69 48 6132
55 67 2975
49 83 16689
92 8 16789
27 87 32113
0 52 8766
55 42 22225
34 0 32152
0 89 23801
0 61 22332
27 17 12099
10 2 11003
3 68 8380
34 32 29486
59 71 23162
78 10 30729
24 12 22021
30 88 4502
72 23 27831
84 90 3615
96 18 23146
22 21 27961
85 33 16591
96 57 9126
21 48 17974
50 84 14018
32 93 9661
51 60 15949
39 92 16406
17 71 20888
2 76 17258
98 69 8586
22 59 9730
86 7 4859
38 44 17083
63 29 9554
32 80 14190
82 16 24421
33 74 1243
6 59 28950
61 7 11442
93 58 16927
61 74 30154
47 77 22273
4 26 26549
71 70 23330
20 18 17958
66 34 19312
3 33 10720
21 43 16175
95 63 6200
99 65 13490
52 89 31554
49 93 9777
50 15 27713
91 52 3841
63 92 12030
50 58 977
46 20 22533
19 57 8383
23 31 12541
24 52 26203
49 32 21912
72 83 15093
48 57 2257
39 42 14288
13 82 13673
51 97 16904
41 86 15847
70 75 15691
28 24 32652
70 35 31420
6 70 2288
55 83 28824
89 14 20554
39 98 22382
80 79 32400
47 36 4114
7 34 31726
56 28 16781
96 45 8008
47 0 188
79 64 1480
38 99 7002
24 29 30881
77 40 24227
52 84 13958
26 87 30176
20 44 17305
40 9 22386
51 30 23988
57 90 14133
61 49 11346
96 57 11094
18 93 2704
3 69 11506
29 5 12024
28 20 28692
48 68 18450
19 59 16166
10 52 639
87 86 24201
99 78 15148
75 74 29738
33 22 13706
95 1 4812
9 41 21438
71 55 28200
29 48 10749
62 97 20539
86 23 19275
4 2 9143
96 44 2857
33 96 17585
37 18 25851
18 54 5115
99 67 1292
19 2 23076
94 12 14444
27 2 19749
6 31 8233
56 80 6170
20 86 14740
98 59 9875
76 71 28809
2 24 10920
12 81 30265
23 36 23311
15 17 21951
78 46 23952
36 71 26431
49 71 22697
89 66 6450
21 70 21569
29 6 865
15 70 2400
54 21 30763
73 55 9369
74 15 23134
12 41 6218
33 39 17096
64 72 29492
95 72 19657
6 28 9501
76 68 913
7 58 32377
86 14 29128
48 42 22869
84 30 21462
16 51 2280
38 90 28939
31 83 15013
30 57 14920
47 64 11938
57 90 3338
79 89 26275
31 9 28630
64 43 29241
63 65 22914
67 13 9135
26 68 9930
20 72 3257
66 34 23089
93 6 29476
51 86 12323
85 53 19702
71 2 1487
55 95 4289
67 17 6964
63 69 4631
21 48 26960
33 37 2905
69 76 11133
59 36 11618
78 73 26457
0 96 25273
60 18 16585
55 91 14154
59 87 20479
71 55 22234
66 42 3464
14 93 9142
79 13 19654
72 53 21575
35 2 14190
95 72 8594
59 24 23768
50 46 10704
95 38 15947
68 28 4507
39 49 23941
9 1 29551
8 43 17709
80 6 8294
40 23 23291
25 99 26233
48 11 6579
64 2 14973
51 42 8567
36 1 19305
13 56 14153
89 71 6403
89 94 15992
41 45 10566
49 96 8563
16 74 6993
17 58 12520
74 34 8606
86 16 16573
33 66 26148
38 43 1182
9 26 21963
28 32 5085
78 94 692
86 30 12173
35 75 25929
85 93 22309
33 52 21007
2 94 14095
58 13 3759
18 57 23019
14 58 6836
16 6 4209
91 79 4333
64 47 3381
17 99 3187
58 54 2238
17 78 18631
99 58 14248
38 32 22147
53 36 16335
18 3 18065
23 72 31410
19 4 11236
99 2 658
16 47 22571
86 67 5366
29 26 20983
96 93 4250
91 12 17215
14 95 3575
70 57 5466
4 48 6375
49 30 11194
0 71 14088
70 17 16649
36 61 31222
2 37 25224
48 41 11635
93 19 29618
13 15 4364
50 37 6291
53 59 18920
60 57 28503
34 78 9406
80 84 12797
88 35 4911
88 70 2496
87 20 13741
7 23 22585
31 32 10702
22 88 15393
19 87 8028
4 1 11553
31 87 7343
0 35 19569
14 31 9647
6 72 11363
98 91 5643
34 98 31991
35 17 20674
97 12 9436
22 4 6999
81 93 19359
14 64 17731
16 54 1281
84 52 11393
51 1 30375
49 51 22094
18 19 18595
59 36 16235
17 39 18056
52 35 18826
65 67 6657
54 47 21416
97 0 18727
31 49 10628
56 51 29198
94 7 6773
20 82 27196
21 51 16970
98 58 17412
35 13 28410
90 9 5378
14 62 9291
10 62 41
67 23 6849
97 81 19231
8 67 18798
70 33 31199
38 30 8822
60 10 23765
26 58 14448
24 75 31985
80 45 5856
5 4 11881
17 94 17026
11 13 7708
76 39 9760
63 21 14036
5 75 14114
45 76 4828
23 29 26920
8 87 9128
15 81 10809
39 3 7288
73 44 10621
34 38 20036
46 35 10358
34 41 21072
3 12 6960
69 50 28218
75 6 30185
21 75 22373
5 90 18201
53 38 13568
16 13 13027
71 17 18217
96 46 8533
16 89 16086
62 21 780
7 90 25991
35 80 2051
87 4 1270
87 93 4804
58 14 24117
1 12 9786
4 76 15618
25 73 5823
56 14 7993
15 87 30541
19 92 20906
12 84 8667
50 42 6841
56 16 26178
37 6 24732
73 70 27972
86 91 31752
49 28 17807
84 78 27056
84 97 28362
83 66 7148
39 54 6934
49 67 6995
99 91 22914
27 86 16436
78 99 31843
87 50 26675
99 69 25755
35 60 29305
83 0 30500
57 72 21037
39 42 29825
74 87 31284
36 8 16872
94 48 5747
47 14 567
36 55 17920
2 68 12571
3 84 9985
63 69 23793
49 5 20528
36 0 11329
41 15 7489
28 12 8688
65 58 19092
99 20 8050
24 11 4604
54 66 1698
55 59 7559
78 51 9494
91 28 1667
4 26 20730
9 19 1596
11 58 25569
89 57 19230
60 36 6668
61 79 24649
53 49 23824
0 69 3764
38 4 14059
52 77 26227
76 54 9956
64 74 956
26 7 25542
10 45 30396
22 51 20318
90 25 18019
37 29 3393
3 20 9642
47 29 25405
34 1 28670
77 46 21521
9 46 11481
39 85 21813
82 41 945
84 39 9946
31 86 195
40 50 16752
68 43 8288
74 24 3660
80 83 6605
55 95 18762
26 47 9174
45 13 1915
23 14 15510
70 99 839
29 43 11059
18 38 2175
78 14 19835
99 78 15192
23 40 7323
53 38 2892
48 43 31598
38 91 32590
88 38 9755
69 53 15059
44 86 19959
4 79 13214
47 68 24030
64 21 7769
99 51 25226
47 32 11350
77 66 28561
40 59 24342
37 33 25867
58 86 1631
26 35 787
20 59 1041
51 79 3999
81 36 15605
15 49 18529
74 66 16442
15 39 15796
76 90 14179
59 7 21696
21 65 11976
1 56 24146
57 9 19202
52 46 15659
92 48 6612
62 27 20899
11 69 28019
85 51 6654
36 33 10038
78 57 32193
13 83 4891
67 76 24547
39 15 1951
22 43 9919
27 2 30175
93 24 14845
46 20 1015
70 86 22009
31 0 16416
19 20 20819
17 61 1273
24 38 23711
22 51 22521
44 46 4148
7 40 7437
17 43 26613
25 3 11783
2 6 26952
70 43 10168
48 79 29434
27 73 4216
65 73 4847
3 63 8660
77 58 12256
69 80 17888
57 73 14424
20 71 21377
94 90 10490
35 65 310
5 51 28787
67 44 771
77 17 431
59 93 29575
61 79 21796
20 79 20846
24 30 16466
67 36 20923
58 15 30406
68 21 23702
48 91 19011
41 14 3497
31 39 26594
36 49 21046
9 17 28230
96 70 3678
65 7 23856
30 71 24670
37 97 6434
53 84 29609
77 39 7630
45 11 12065
36 49 4221
70 92 12522
25 33 16319
87 28 20351
98 56 20470
14 43 2843
93 81 27813
97 23 19344
63 98 25732
30 50 17950
27 25 10946
57 59 17394
82 38 25102
94 2 3401
69 40 26156
23 46 18036
42 25 20298
55 31 25391
81 76 13904
82 0 18946
85 32 9178
19 0 9392
38 21 7081
56 83 31699
98 1 13476
42 25 27458
78 41 12736
53 3 18897
61 23 10865
9 22 23169
83 13 4454
94 48 22088
5 11 24264
88 80 9461
42 25 24368
61 24 16595
61 86 15116
36 30 21538
9 35 16948
18 61 28802
26 95 30164
41 50 8149
52 72 16129
72 63 19279
12 15 19082
20 32 24748
71 49 13027
9 77 1730
19 48 1863
17 11 27111
90 20 27480
25 39 32227
73 56 3308
83 65 22125
73 2 5580
93 7 14432
65 23 7556
81 60 5409
10 72 924
16 96 3839
74 46 5337
0 71 16487
24 87 32330
51 31 6469
61 17 26452
48 1 3312
17 80 10236
77 67 20582
4 14 793
76 57 23501
22 56 9275
52 88 4976
79 31 28515
60 34 15282
33 13 1256
85 35 30899
27 38 17948
22 37 25994
8 34 14209
90 44 6258
17 23 25536
41 52 60
93 24 28310
43 88 15568
8 10 26994
36 15 14267
42 17 17285
78 32 8948
47 86 27999
3 70 29523
38 12 3197
67 13 14718
53 54 30035
54 53 14130
39 21 8881
6 59 2094
90 26 6040
91 44 32053
69 87 5338
30 40 11474
17 5 24086
61 80 4340
83 67 499
27 93 6512
63 32 18344
48 56 15119
38 83 6192
19 51 32692
47 57 955
39 44 18361
83 55 29759
6 66 5532
71 50 17453
20 89 13446
17 83 23746
50 27 8033
10 76 16740
31 57 4465
6 78 5643
4 23 27303
82 76 19629
38 7 24880
21 26 18969
97 15 9960
25 95 3286
19 34 1211
64 12 16594
49 41 18205
78 80 16653
27 23 32282
99 85 25730
66 24 22703
18 23 25275
27 42 17541
28 16 10466
12 44 2652
72 12 10404
34 22 1082
75 71 31772
24 4 14116
85 13 28827
24 87 7733
13 87 24461
48 50 10324
76 56 29781
48 32 29939
82 80 30983
73 54 12959
24 69 23879
75 78 22668
93 62 4527
23 38 4188
51 5 22421
15 92 6100
61 97 6148
94 60 14913
76 75 1596
21 22 20405
58 11 4394
8 26 1123
97 43 17534
40 64 5323
34 73 1403
66 99 15213
75 19 24718
70 72 21312
68 43 13391
64 88 15904
